Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
0	0	16sTom1	alexis.cent.001													MultipleMeltPeaks																	
0	12	16sTom1	alexis.cent.003	-1	26.00401	84.0503		0.9994897	21045.8	0.6927153	1.947685	False	False	False	4.429217E-06										11	1845.469	1.374171	28.81373	5657.839	-3.484357	4.0658		
0	24	16sTom1	alexis.cent.049	-1	25.58307	83.89676		0.9992828	12902.41	0.7035572	2.039155	False	False	False	1.073002E-06										4	1652.153	1.292616	28.28539	3419.462	-1.53096	3.069701		
0	36	16sTom1	alexis.cent.051													MultipleMeltPeaks																	
0	48	16sTom1	alexis.cent.005	-1	25.53748	83.19044		0.9991133	33329.61	0.7183946	2.047444	False	False	False	1.422314E-06										14	1978.473	1.285888	28.23094	4871.733	0.561852	3.46237		
0	60	16sTom1	alexis.cent.007	-1	24.29768	83.6045		0.9988099	43233.05	0.7431693	2.059597	False	False	False	3.073789E-06										12	2023.191	1.276204	26.97839	4660.885	-1.071098	3.303729		
1	0	16sTom1	alexis.cent.053	-1	25.45944	83.48719		0.9992235	56446	0.7277298	2.115469	False	False	False	8.605867E-07										9	2487.029	1.234233	28.08488	6563.505	3.982224	3.639094		
1	12	16sTom1	alexis.cent.055	-1	24.96037	83.2785		0.9997315	16009.38	0.7294886	1.977001	False	False	False	7.586218E-06										8	2030.014	1.346468	27.73361	6688.347	-3.862301	4.29473		
1	24	16sTom1	alexis.cent.009	-1	24.64853	83.99149		0.9991387	33966.2	0.7292181	2.043915	False	False	False	3.10225E-06										10	1949.036	1.28874	27.34574	5092.811	-1.923707	3.61299		
1	36	16sTom1	alexis.cent.011	-1	24.45831	83.34637		0.9994813	34397.75	0.7387432	2.105948	False	False	False	2.09988E-06										10	2263.819	1.241104	27.09279	6348.413	-2.087801	3.804293		
