sample,Year,Week,Manure Treatment,Tillage
16W0P2,2016,0,LFM,
16W0P5,2016,0,EFM,CP
16W0P16,2016,0,LFM,
16W0P21,2016,0,EFM,CP
16W0P32,2016,0,SM,
16W0P36,2016,0,SM,
16W1P2,2016,1,LFM,
16W1P5,2016,1,EFM,CP
16W1P20,2016,1,LFM,
16W2P7,2016,2,EFM,NT
16W2P10,2016,2,Control,
16W2P16,2016,2,LFM,
16W2P21,2016,2,EFM,CP
16W2P26,2016,2,EFM,CP
16W2P29,2016,2,Control,
16W2P32,2016,2,SM,
16W2P36,2016,2,SM,
16W3P1,2016,3,EFM,NT
16W3P2,2016,3,LFM,
16W3P5,2016,3,EFM,CP
16W3P10,2016,3,Control,
16W3P15,2016,3,Control,
16W3P16,2016,3,LFM,
16W3P20,2016,3,LFM,
16W3P21,2016,3,EFM,CP
16W3P26,2016,3,EFM,CP
16W3P29,2016,3,Control,
16W3P30,2016,3,EFM,NT
16W3P32,2016,3,SM,
16W3P36,2016,3,SM,
16W4P2,2016,4,LFM,
16W4P10,2016,4,EFM,CP
16W4P5,2016,4,Control,
16W4P16,2016,4,LFM,
16W4P20,2016,4,LFM,
16W4P21,2016,4,EFM,CP
16W4P30,2016,4,EFM,NT
16W4P36,2016,4,SM,
16W5P1,2016,5,EFM,NT
16W5P5,2016,5,EFM,CP
16W5P16,2016,5,LFM,
16W5P20,2016,5,LFM,
16W5P30,2016,5,EFM,NT
16W6P1,2016,6,EFM,NT
16W6P2,2016,6,LFM,
16W6P5,2016,6,EFM,CP
16W6P6,2016,6,SM,
16W6P10,2016,6,Control,
16W6P16,2016,6,Control,
16W6P20,2016,6,LFM,
16W6P21,2016,6,LFM,
16W6P26,2016,6,EFM,CP
16W6P30,2016,6,EFM,NT
16W6P32,2016,6,SM,
16W6P36,2016,6,SM,
16W7P1,2016,7,EFM,NT
16W7P2,2016,7,LFM,
16W7P5,2016,7,EFM,CP
16W7P6,2016,7,SM,
16W7P7,2016,7,EFM,NT
16W7P10,2016,7,Control,
16W7P15,2016,7,Control,
16W7P16,2016,7,LFM,
16W7P20,2016,7,LFM,
16W7P21,2016,7,EFM,CP
16W7P26,2016,7,EFM,CP
16W7P29,2016,7,Control,
16W7P30,2016,7,EFM,NT
16W7P32,2016,7,SM,
16W7P36,2016,7,SM,
16W8P1,2016,8,EFM,NT
16W8P2,2016,8,LFM,
16W8P5,2016,8,EFM,CP
16W8P6,2016,8,SM,
16W8P7,2016,8,EFM,NT
16W8P10,2016,8,Control,
16W8P15,2016,8,Control,
16W8P16,2016,8,LFM,
