Sample,Assay,count
16st1e8,16s,1250000
16st1e7,16s,125000
16st1e6,16s,12500
16st1e5,16s,1250
16st1e4,16s,125
16st1e3,16s,12.5
16st1e2,16s,1.25
ermbst1e8,ermb,1250000
ermbst1e7,ermb,125000
ermbst1e6,ermb,12500
ermbst1e5,ermb,1250
ermbst1e4,ermb,125
ermbst1e3,ermb,12.5
ermbst1e2,ermb,1.25
ermfst1e8,ermf,1250000
ermfst1e7,ermf,125000
ermfst1e6,ermf,12500
ermfst1e5,ermf,1250
ermfst1e4,ermf,125
ermfst1e3,ermf,12.5
ermfst1e2,ermf,1.25
tetmst1e8,tetm,1250000
tetmst1e7,tetm,125000
tetmst1e6,tetm,12500
tetmst1e5,tetm,1250
tetmst1e4,tetm,125
tetmst1e3,tetm,12.5
tetmst1e2,tetm,1.25
